bank_name,city,audience_type,interest_rate,loan_amount,tenure_years,emi_amount,total_interest,total_payment
SBI,Bangalore,Self-Employed - Startup,8.81,5000000,20,44377.0,5650514.0,10650514.0
SBI,Bangalore,Self-Employed - Startup,8.81,5000000,25,41311.0,7393360.0,12393360.0
SBI,Bangalore,Self-Employed - Startup,8.81,7500000,15,75225.0,6040433.0,13540433.0
SBI,Bangalore,Self-Employed - Startup,8.81,7500000,20,66566.0,8475770.0,15975770.0
SBI,Bangalore,Self-Employed - Startup,8.81,7500000,25,61967.0,11090040.0,18590040.0
SBI,Bangalore,Women Applicants,8.61,3000000,15,29736.0,2352470.0,5352470.0
SBI,Bangalore,Women Applicants,8.61,3000000,20,26244.0,3298544.0,6298544.0
SBI,Bangalore,Women Applicants,8.61,3000000,25,24380.0,4313880.0,7313880.0
SBI,Bangalore,Women Applicants,8.61,5000000,15,49560.0,3920783.0,8920783.0
SBI,Bangalore,Women Applicants,8.61,5000000,20,43740.0,5497574.0,10497574.0
SBI,Bangalore,Women Applicants,8.61,5000000,25,40633.0,7189801.0,12189801.0
SBI,Bangalore,Women Applicants,8.61,7500000,15,74340.0,5881174.0,13381174.0
SBI,Bangalore,Women Applicants,8.61,7500000,20,65610.0,8246361.0,15746361.0
SBI,Bangalore,Women Applicants,8.61,7500000,25,60949.0,10784701.0,18284701.0
SBI,Bangalore,Senior Citizens,8.76,3000000,15,30001.0,2400212.0,5400212.0
SBI,Bangalore,Senior Citizens,8.76,3000000,20,26530.0,3367312.0,6367312.0
SBI,Bangalore,Senior Citizens,8.76,3000000,25,24685.0,4405408.0,7405408.0
SBI,Bangalore,Senior Citizens,8.76,5000000,15,50002.0,4000354.0,9000354.0
SBI,Bangalore,Senior Citizens,8.76,5000000,20,44217.0,5612187.0,10612187.0
SBI,Bangalore,Senior Citizens,8.76,5000000,25,41141.0,7342347.0,12342347.0
SBI,Bangalore,Senior Citizens,8.76,7500000,15,75003.0,6000530.0,13500530.0
SBI,Bangalore,Senior Citizens,8.76,7500000,20,66326.0,8418280.0,15918280.0
SBI,Bangalore,Senior Citizens,8.76,7500000,25,61712.0,11013521.0,18513521.0
SBI,Bangalore,NRIs,8.86,3000000,15,30179.0,2432158.0,5432158.0
SBI,Bangalore,NRIs,8.86,3000000,20,26722.0,3413341.0,6413341.0
SBI,Bangalore,NRIs,8.86,3000000,25,24889.0,4466672.0,7466672.0
SBI,Bangalore,NRIs,8.86,5000000,15,50298.0,4053597.0,9053597.0
SBI,Bangalore,NRIs,8.86,5000000,20,44537.0,5688902.0,10688902.0
SBI,Bangalore,NRIs,8.86,5000000,25,41482.0,7444454.0,12444454.0
SBI,Bangalore,NRIs,8.86,7500000,15,75447.0,6080395.0,13580395.0
SBI,Bangalore,NRIs,8.86,7500000,20,66806.0,8533352.0,16033352.0
SBI,Bangalore,NRIs,8.86,7500000,25,62222.0,11166681.0,18666681.0
SBI,Bangalore,First Time Home Buyers,8.66,3000000,15,29824.0,2368360.0,5368360.0
SBI,Bangalore,First Time Home Buyers,8.66,3000000,20,26339.0,3321430.0,6321430.0
SBI,Bangalore,First Time Home Buyers,8.66,3000000,25,24481.0,4344340.0,7344340.0
SBI,Bangalore,First Time Home Buyers,8.66,5000000,15,49707.0,3947267.0,8947267.0
SBI,Bangalore,First Time Home Buyers,8.66,5000000,20,43899.0,5535717.0,10535717.0
SBI,Bangalore,First Time Home Buyers,8.66,5000000,25,40802.0,7240567.0,12240567.0
SBI,Bangalore,First Time Home Buyers,8.66,7500000,15,74561.0,5920901.0,13420901.0
SBI,Bangalore,First Time Home Buyers,8.66,7500000,20,65848.0,8303575.0,15803575.0
SBI,Bangalore,First Time Home Buyers,8.66,7500000,25,61203.0,10860851.0,18360851.0
SBI,Hyderabad,Salaried - IT/Corporate,8.94,3000000,15,30321.0,2457782.0,5457782.0
